表格ID：Custom_SinglePopulation
標題：五齡人口數
更新日期：2026.08.28
下載日期：2026.09.02 13:55
查詢年份：1992~2075
資料來源：國家發展委員會
中華民國人口推估
來源網址：https://pop-proj.ndc.gov.tw/Custom_Detail_Statistics_Search.aspx?n=39&_Query=dd898a76-e054-497c-9231-8d0be078995a

,,,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
推估情境,性別,年齡,統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人),統計值(人)
高推估,女性,55-59歲,380987,388944,398378,409795,419368,424799,430770,429154,412352,403732,414160,436233,475800,535893,614591,672051,720458,760244,798855,817458,833060,853482,873221,885662,895613,914005,927932,933118,932737,927991,913387,911937,909377,907970,900941,902851,894986,887440,883558,910442,925900,950930,980080,1002484,1000195,1008317,995743,970524,935380,879019,828784,804124,771834,762738,765385,767733,760750,766189,763444,766988,769858,742858,724826,715789,686057,650549,631458,601641,557420,534242,515973,503489,493794,475838,473674,489208,489291,498951,520735,525500,507398,501621,485266,462469
高推估,女性,60-64歲,323860,330204,336729,345121,351556,362918,373079,384148,395783,406304,411422,416895,415739,399992,392948,404197,427415,466877,526541,603327,659867,707033,745699,783336,801429,816892,837079,856841,867175,869767,887917,909622,915805,916393,918585,904843,897054,894033,893652,887115,889350,882003,874942,871435,898286,913827,938809,967849,990215,988263,996538,984360,959688,925173,869655,820197,796033,764287,755483,758251,760724,753982,759517,756963,760619,763602,736963,719211,710387,681022,645925,627071,597579,553805,530892,512852,500533,490982,473218,471142,486650,486797,496468,518167
高推估,女性,65-69歲,251206,263473,272780,283182,291627,300615,307840,316618,325651,332488,343363,353047,364301,376000,387384,393262,399815,399612,385297,379048,390644,413650,452297,510195,584539,639547,685621,723850,758749,768486,783315,811514,832364,844473,854233,872212,886128,891279,893018,895669,882783,875815,873497,873691,867846,870471,863751,857317,854375,881261,896937,921876,950782,973100,971641,980125,968481,944544,910871,856486,808088,784632,753649,745276,748206,750840,744447,750104,747810,751610,754742,728555,711166,702637,673753,639205,620635,591560,548401,525846,508108,496012,486648,469116
高推估,女性,70-74歲,180376,188456,196919,205377,212786,221874,234276,245233,255964,265028,273226,280141,289004,298044,305620,316716,326636,338240,350116,361279,367737,374216,374616,361402,356058,367601,390128,427808,481862,546437,597360,649234,687150,722942,740300,755016,774369,793616,806455,816906,835068,849391,855292,857839,861257,849624,843809,842429,843424,838562,841689,835852,830309,828166,855064,870880,895689,924327,946484,945724,954449,943551,920684,888246,835557,788764,766387,736563,728834,731964,734801,728928,734727,732809,736788,740112,714583,697725,689645,661496,627808,609650,581214,539047
高推估,女性,75-79歲,115916,118992,121847,127880,137675,146379,154546,163498,172188,180527,188790,199428,210010,219968,229363,237517,244753,253475,262595,269771,280443,290429,301294,312914,323404,329892,336566,337972,326070,319156,328734,353264,389384,440607,506587,555385,596623,631090,665157,683076,698163,717498,736705,750019,761123,779261,793907,800640,804155,808492,798539,794265,794111,796126,792578,796295,791644,787309,786248,812988,828837,853253,881279,902999,903199,912144,902296,881026,850478,800459,756221,735537,707547,700803,704163,707237,702152,708085,706712,710905,714456,689975,673966,666600
高推估,女性,80-84歲,66767,71098,75905,78211,79052,81484,84458,87909,93801,102837,110217,116899,124294,132174,140448,147906,157217,166676,175596,183798,191268,198069,205840,213993,220018,229610,238433,248977,259923,268252,272997,279753,281753,272604,270907,282893,303355,335760,381486,440097,483745,520758,551993,583021,600557,615177,633656,652157,665551,677026,694505,709035,716454,720871,726060,718174,715797,717085,720242,718346,722517,719336,716543,716846,742949,758463,781800,808353,828871,830324,839209,830739,811838,784184,738485,698444,680514,655569,650373,653871,657099,653231,659160,658575
高推估,女性,85-89歲,26180,27637,30381,32412,34942,38344,41241,43582,45555,47109,49593,52017,54861,59170,66251,71494,76488,82085,88264,94311,100306,107644,114632,121396,127228,132796,137846,143763,150891,155913,161331,167655,176097,185184,194424,201466,208183,211204,205484,205108,215962,233719,260786,297132,343928,378820,408461,433882,459324,475202,488123,504338,520805,533379,544483,560023,573462,581075,586080,591806,586487,586404,589268,593547,593618,597877,596481,595610,597539,621778,636001,656789,680102,697907,700807,708966,702361,687111,664142,625751,592817,579358,559441,556538
高推估,女性,90-94歲,7208,7618,8582,9186,10058,10907,11604,12735,13791,15177,16972,18562,19792,20875,22270,23720,25176,27016,29574,33242,36268,39326,42303,45853,49388,52465,56689,60746,65011,68318,69556,71816,75049,79273,83274,88774,94321,101263,108260,114266,118926,123376,125732,122481,123039,131301,144120,162688,185858,216136,238638,257841,274841,292203,304531,314153,326222,338736,348895,358156,369934,380656,387391,392190,397640,395148,397180,401144,405912,407702,411392,411747,412749,415987,435883,447082,462932,480347,493293,497166,503430,499037,488758,472576
高推估,女性,95-99歲,1195,1389,1556,1709,1949,2131,2327,2527,2757,2954,3293,3533,3930,4292,4844,5456,5846,6396,6865,7138,7833,8393,8992,10061,11408,12586,13583,14641,16092,17573,18067,18821,19902,21269,22104,23117,24627,26645,28973,31075,33633,36062,39050,42089,44591,46568,48485,49622,48247,48945,53461,60064,69094,79430,93253,103362,112021,120027,128458,135307,140360,146818,153702,159605,165113,171548,177750,181946,185089,188719,188105,190540,193850,197396,199345,201488,202474,204036,206953,219239,225455,234103,243387,249875
高推估,女性,100歲以上,212,258,333,330,380,442,484,518,578,646,692,739,787,859,939,957,942,1024,1075,1114,1284,1420,1543,1625,1664,1805,1932,2119,2365,2639,2704,2836,2958,3107,3253,3456,3665,4009,4389,4822,5231,5682,6207,6813,7373,8044,8691,9499,10334,11048,11704,12393,12969,12939,13495,15069,17153,19815,22613,26577,29706,32630,35627,38874,42049,44461,47349,50437,53313,56078,58933,61896,64282,66308,68523,69373,71402,73498,75512,77017,78134,79303,80710,82525
